Product_name,Price,Rate,Review,Summary
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Awesome,NICE PRODECT ?????????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Just wow!,"Nice budget tvGood picture quality and easy to connect with mobile or wifiInstallation and demo also awesome,,,,"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Best in the market!,I am happy purchase for MI TV
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,2.0,Bad quality,I am using this from 2 months and I got black dot on the screen dont buy this product
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Fabulous!,Overall value of money covered.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Fabulous!,EXCELLENT
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Best in the market!,Overall good product by xiaomi
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Great product,Nice facilities
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Pretty good,This is awesome product value for money Highly recommend
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Delightful,A1 quality
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Terrific,This is a best tv mi india no1 brand
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Value-for-money,Mi TV is good worth buy ???? but  during installation I had a very bad experience the way there staffs were talking is very much bad so kindly tell your staff to short coustomer problem immediately not to take so much tym .Thank you
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Super!,All good
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Just wow!,"Super TV ,it really good."
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Very Good,It's definitely value for money product.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Worth the money,Best product Under 10k
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Classy product,Nice and super Quality value of money
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Highly recommended,Some issues with Chromecast bdw full hd value for money
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Classy product,"This TV is super.Value for money, highly recommend,loved it"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Classy product,The picture quality is very good....??????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Mind-blowing purchase,Best Smart TV under 15k
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Perfect product!,Value for money ????????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Very Good,Good picture quality and sound ..
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,1.0,Unsatisfactory,"the delivery boy does not do open box delivery I have not even opened my tv yet the installation guy is unresponsive and even cancelled the installation without any conversation beforehand. Does not recieve my calls, after calling with other phones gives me a time but does not show up. Utterly disappointed."
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Great product,"Very nice product, thanks Flipkart ????"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Terrific purchase,Value for money good product ???
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Brilliant,Wanderfull tv
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Wonderful,Awesome ???
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Wonderful,Very good product mi I'm Sins 8 years using mi products nice ?????????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Delightful,Okay
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Mind-blowing purchase,TV is nice but didn't have any wall bracket .... anyway tv is nice ??? loved it
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Perfect product!,Worth of Money ???? good Quality
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Classy product,Value for money good
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Just wow!,Very good
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Simply awesome,Good tv
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Wonderful,Worth for money... ??????????????????????????????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Terrific purchase,Love to bought it.Best deal with affordable price range.If you want to android tv under 15k range go for it without hesitation.Picture quality is good but it could be more better. Sound is pretty well. Connectivity is awesome.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Simply awesome,Thanks suresh
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Simply awesome,???Best product in this segment???32' full screen tv ???Xiaomi work always best for costumes
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Super!,"Super, excellent, amazing and beautiful ?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????....."
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Classy product,It's a great product value of money
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Awesome,Best tv
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Classy product,Nice product ????Thank you Xiaomi
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Worth every penny,Osm
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Mind-blowing purchase,Value for money.....Go and purchase
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Good choice,Amazing one go for it
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Worth the money,Supet
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Very Good,Thanks Bhai
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Highly recommended,This product is absolutely best???????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Awesome,Awesome ???
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,3.0,Good,Good
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Worth the money,Excellent smart tv in low budget. Everything is good but the processor is a bit slow. Otherwise great smart tv.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Highly recommended,Awasome ??????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Classy product,Fantastic
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Highly recommended,Good product ??????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Must buy!,Overall good experience. Best video quality in this price range.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,1.0,Terrible product,Very wrost products
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Highly recommended,Vry good
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Brilliant,Best price in BBD
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Fabulous!,This Tv is amazing everything is excellent no comparison with other brands in this amount.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Delightful,Superb sound quality and best picture quality
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,1.0,Worst experience ever!,TV Not yet installed.almost 3 return days already  gone.how can i return tv if i face any issue after given 10 days.worst customer service by flipkart and its vendors.not attending the call aswell.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Just wow!,Nice??? Tv
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Good choice,Good Product
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Nice product,Excellent
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Best in the market!,Nice ????????? thank you filipkart
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Terrific purchase,Best led mi
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Worth every penny,"Worth for money,im really happy ??????? sound quality is very good,"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Delightful,"As for price of 11000,mi tv is best."
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Brilliant,Good ???
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Brilliant,"Excellent sound, Fast delivery from delivery rider."
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Good quality product,As per the price the picture quality is very satisfactory. Sound quality is like typical Patch wall causes android interface looks very goodValue for money if we consider 11000 price money.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Awesome,Best hai
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Worth every penny,Nice tv best price
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Great product,Osm
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,3.0,Decent product,Delivery is the worst delivery TV box  a very damageDelivery boy handle carelessMy house in 2nd floor but delivery in ground floor handoverTV unit not handover in directly my house
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Simply awesome,Nice tv good sound experience but pictures quality not that level good and dual band WiFi not supported
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Perfect product!,Excellent product with timely delivery and installation
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Nice product,Value for Money
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Really Nice,Good ???????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Nice product,Okay
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Excellent,Good ?????????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Delightful,"This pris good led tv , irealy happy"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Just wow!,Nice experience thanks flipkart
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Awesome,Very good Xiaomi thank you
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Terrific,Super sound  picture quality very good
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Brilliant,"Good quality product , best price, fast delivery and good experience,Thanks all filipkart  work's"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Perfect product!,Good quality
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Good choice,It's good not excellent android smart TV. Bluetooth Volume is very low
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Great product,It's amazing.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Worth the money,Value for money ???.. best tv
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Highly recommended,Nice picture quality
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Super!,Value for money product.. i got this this tv on big billion day sale. Thank you Flipkart for you to give it in affordable price.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Nice product,Nice picture qualityNice sound qualityThe best budget TV???????????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Very Good,good product
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Brilliant,Worth for money & fully satisfied with product
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Wonderful,Nice tv
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Really Nice,"Basic Android smart TV worth for money,"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Perfect product!,Super Product Remote Full Smart
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Classy product,Ok good
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Really Nice,Overall seems to be good
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,1.0,Unsatisfactory,Vallu for money
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,2.0,Could be way better,Colour is not perfect face is yellow
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Worth the money,Perfect choice
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Excellent,This price range is the best led tv
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Best in the market!,"nice product , value of money"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Good quality product,My tv is not getting connected properly with my realme . during screen mirroring it lags. Pls help. Screen mirroring is very late. In mi phone it is fine. Overall good product for 10000
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Value-for-money,some issue but overall ok thanks flipcurt and mi
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Nice product,The connection is lowValue for money ????Good sound quality ????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Fabulous!,It's a good experience
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Best in the market!,Thanks FLIPKART.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,3.0,Good,good tv
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Excellent,Nice Product from Xiaomi....
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Value-for-money,1080p videos quality are not running perfectly..Sometimes it hanged (freeze) during playing a high quality video and then need to be restart again.. Picture quality is best.Sound quality awasome..Fast delivery service.... thanks  a lots Flipkart.....
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Worth the money,Nyc one
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Highly recommended,Best one in this price range.Picture quality is good Sound quality is good
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Terrific,Very good quality tv in this price
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Must buy!,Good product and best price
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Nice product,Best Price Quality TV overall best tv
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Awesome,Wonderful quality Flipkart amazing ?????????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Fabulous!,1.Purchase Only rs.8700 In Flipkart Big billion day with Flipkart axis credit card offer...2.Fastest Delivery... within 1 day3.Dolby 5.1 Sound it's terrific (volume at 25 is enough for living hall...think if you play at 100 it's theatre vibe..)4.Smooth handle5. Picture quality is Mind-blowing
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Pretty good,Best tv under this price range very fast delivery and nice ui and features specially Android 11 really like it
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Good choice,Good Television...
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,3.0,Just okay,Remot power button not working porply some time
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Classy product,Thanks ???
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Super!,Good Quality
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Wonderful,Good pordct
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Just wow!,Best tv
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Wonderful,"Good ????, very good."
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Great product,Good working Arun jatav
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Super!,Best
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Terrific,Awesome screen
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Perfect product!,I m very happy
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Worth the money,NYC product. Sound super ????.. super quality...value for money ????????. Tq Flipkart picture quality nyc. ..tq flip...
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Classy product,"Good product, recommended to use at this price I got it for exciting price.... Great sound quality but only one thing is picture quality should be much better and the remote should have been IR supported."
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Fabulous!,Value for money. Really happy to buy this product with Flipkart.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Delightful,Overall this product is good. Need to improve software .Connecting issue with wifi and processor is slow
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,2.0,Disappointed,problem from the very first month.wi fi does not get connected.Huge problem after first year.gets switched off on its own.complete breakdown after two years.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Excellent,Not bad ????
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Must buy!,All Good
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Best in the market!,Picture quality is good . The sound is little bit not clear. Otherwise it is worth for the price....
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Brilliant,Good product on this renge
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Fabulous!,Superb
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Good choice,Good Quality
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,1.0,Not recommended at all,Low picture quality and not originally picture.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,3.0,Decent product,Nice problem no any problem
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Terrific,Very nice product....
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Highly recommended,Super smart TV 43 inches
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Mind-blowing purchase,Good worth of money
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Must buy!,Before time delivery and installation. With the offer price I get it it's value for money.
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Highly recommended,Good qualified for this price...
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Worth the money,Fantastic led tv
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Just wow!,Fentastic smart tv .I love it
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Awesome,Good one
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,5.0,Simply awesome,Fabulous
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),13999.0,4.0,Good choice,Very good product... Iam happy
